timestep,timestamp,baseline_temp,ai_temp,baseline_pmv,ai_pmv,baseline_kw,ai_kw
157,Day-Step 157,21.999999999999996,22.999999999999996,-0.8503420866699751,-0.6648272693661336,4.6696900369217476,5.192771410304283
158,Day-Step 158,22.0,23.0,-0.8503420867846515,-0.664606546280133,4.669690038208567,5.192100353654745
159,Day-Step 159,22.000000000000004,23.000000000000004,-0.8503420868971631,-0.6644109536319649,4.669690039470393,5.191506344341102
160,Day-Step 160,22.000000000000004,22.999999999999996,-0.8503420870073686,-0.6642376832927109,4.66969004070773,5.190984095340174
161,Day-Step 161,22.000000000000004,23.0,-0.8503420871154568,-0.6640840552038088,4.669690041921059,5.190524332507109
162,Day-Step 162,22.0,22.999999999999996,-0.8503420872215033,-0.6639476554691307,4.669690043110834,5.190117898049251
163,Day-Step 163,22.000000000000004,23.0,-0.8503420873254813,-0.6638263612704595,4.669690044277516,5.189756667501208
164,Day-Step 164,22.0,23.000000000000004,-0.8503420874274574,-0.6637183176389811,4.669690045421552,5.189433695764249
165,Day-Step 165,22.000000000000004,22.999999999999996,-0.8503420875273683,-0.663621907304204,4.6696900465434075,5.189143121118006
166,Day-Step 166,22.0,23.0,-0.8503420876253835,-0.663535720435585,4.66969004764346,5.188880021481207
167,Day-Step 167,22.0,23.0,-0.850342087721532,-0.6634585274067669,4.669690048722183,5.188640271415324
168,Day-Step 168,22.0,23.0,-0.8503420878157955,-0.6633892548947263,4.669690049779969,5.188420415208807
169,Day-Step 169,22.000000000000004,22.999999999999993,-0.850342087908219,-0.6633269651607441,4.669690050817234,5.188217558147998
170,Day-Step 170,22.0,23.0,-0.8503420879988505,-0.663270838150284,4.669690051834359,5.1880292747574925
171,Day-Step 171,21.999999999999996,22.999999999999996,-0.8503420880877551,-0.6632201560449589,4.669690052831756,5.187853531812368
172,Day-Step 172,22.0,22.999999999999996,-0.8503420881748998,-0.6631742899262304,4.669690053809797,5.1876886239109155
173,Day-Step 173,22.000000000000004,22.999999999999996,-0.85034208826035,-0.6631326882552449,4.669690054768839,5.187533119615986
174,Day-Step 174,22.0,20.417775863590194,-0.850342088344148,-1.0095385811490334,4.669690055709289,2.8613602729508494
175,Day-Step 175,22.0,20.011836678583627,-0.8503420884263313,-1.1882233456503957,4.669690056631496,3.2561507562788705
176,Day-Step 176,22.000000000000007,20.000081706932797,-0.8503420885068619,-1.180599466453021,4.6696900575358065,3.38892467351931
177,Day-Step 177,22.000000000000004,20.00000617045067,-0.850342088585936,-1.1883543371775165,4.669690058422556,3.497605885997902
178,Day-Step 178,22.0,20.000000473897376,-0.8503420886634062,-1.1929026883295397,4.669690059292115,3.569018854479975
179,Day-Step 179,22.0,20.0000000365398,-0.8503420887393845,-1.1969173972750053,4.669690060144793,3.5873620134082147
180,Day-Step 180,22.0,20.0000000028258,-0.8503420888138932,-1.200280752406529,4.66969006098092,3.601776337900229
181,Day-Step 181,22.000000000000004,20.000000000219075,-0.850342088886976,-1.2031521849100348,4.669690061800834,3.613691007427319
182,Day-Step 182,22.000000000000004,20.000000000017017,-0.8503420889586101,-1.2056128202562453,4.669690062604835,3.623620391238712
